drg_segment,total_passengers_2022,total_passengers_2015,wifi_service,city_attraction_area,city_category_in_attraction_area_2020,department,region,sum_municipal_population_2021,non_scholarized_15_years_old_or_more_2020,main_residences_2020,housing_2020,jobs_at_workplace_2020,hotels_2024_sum,camping_sites_2024_sum,other_tourist_accommodations_2024_sum,latitude,longitude,passenger_growth_rate,attraction_density,city_size_category,Dubious,total_non_passengers_2022,total_non_passengers_2015,non_passenger_growth_rate,distance_to_paris,population_category,high_population
C,52096.0,35110.0,0,070,20,71,27,154521,117622,71009,81003,63392,41,11,1,46.8512109,4.7750693,0.4837937909427514,0.00034299545045657224,Medium,Yes,0.0,0.0,0.0,288.7770056955195,"(0, 300000]",Low
C,10316.0,5382.0,0,000,30,36,24,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,46.4397694,1.5521707,0.916759568933482,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,276.12476419415685,"(4200000, 4500000]",High
C,9227.0,12466.0,0,014,12,38,84,722904,509389,327884,386478,314066,122,48,27,45.1251549,5.6998669,-0.25982672870206963,0.00027251197946061994,Large,No,0.0,0.0,0.0,488.01845742249395,"(600000, 900000]",High
B,457024.0,425128.0,0,121,11,57,44,76994,60888,34655,39692,28512,6,3,0,49.1073357,7.0686398,0.0750268154532282,0.00011689222536821051,Medium,No,114256.0,106282.0,0.0750268154532282,346.5105053310492,"(0, 300000]",Low
C,75277.0,29896.0,0,008,20,44,52,1031953,714965,459881,501124,471335,115,19,40,47.1001487,-1.3058778,1.5179622691998929,0.0001686123302127132,Huge,Yes,0.0,0.0,0.0,334.52565323089834,"(900000, 1200000]",High
A,2817701.0,2235873.0,1,043,11,74,84,298164,219660,133651,155463,128175,95,44,17,45.901965,6.121835,0.2602240824948465,0.0005232019962168471,Large,Yes,704425.0,558968.0,0.2602241988807946,435.8113921254621,"(0, 300000]",Low
B,2010237.0,2248554.0,0,001,12,78,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,48.8067323,2.1511693,-0.10598678083781844,0.00021980014358757567,Huge,No,0.0,0.0,0.0,14.905315013049707,"(12900000, 13200000]",High
C,4046.0,4071.0,0,050,20,73,84,261463,191251,119668,141100,111156,89,30,10,45.5363048,5.8131468,-0.006140997297961189,0.0004933776480802255,Large,No,0.0,0.0,0.0,454.0382441663219,"(0, 300000]",Low
C,107549.0,61925.0,0,000,30,11,76,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,42.9327725,3.0128555,0.7367622123536536,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,661.9030533779502,"(4200000, 4500000]",High
C,40825.0,35989.0,0,008,20,44,52,1031953,714965,459881,501124,471335,115,19,40,47.5546432,-1.5244159,0.13437439217538694,0.0001686123302127132,Huge,No,0.0,0.0,0.0,320.88079760129267,"(900000, 1200000]",High
C,3223.0,2978.0,0,395,11,14,28,13091,10636,6629,22320,5463,19,8,9,49.2910882,-0.1008455,0.08226997985224983,0.0027499809029103966,Tiny,No,0.0,0.0,0.0,183.45738773011618,"(0, 300000]",Low
C,34475.0,36040.0,0,058,20,68,44,199434,152819,89838,104254,84738,133,24,13,48.087299,7.3206082,-0.04342397336293008,0.0008524123268850847,Medium,No,0.0,0.0,0.0,377.6289051315039,"(0, 300000]",Low
C,35042.0,52934.0,0,003,13,13,93,1888788,1372344,849590,969271,758303,303,52,76,43.3929209,5.0257804,-0.3380058185665168,0.00022818865854717417,Huge,No,0.0,0.0,0.0,642.9340265995658,"(1800000, 2100000]",High
C,33549.0,16649.0,0,026,11,49,52,441234,305634,199448,218134,181000,56,25,8,47.4670899,-0.531894,1.0150759805393716,0.0002017070307365253,Large,Yes,0.0,0.0,0.0,263.35733533098323,"(300000, 600000]",High
C,7875.0,1470.0,0,176,20,71,27,48201,38763,23657,27898,15943,6,2,0,46.6040913,4.2997146,4.357142857142857,0.0001659716603389971,Small,Yes,0.0,0.0,0.0,291.38823062080274,"(0, 300000]",Low
B,771326.0,585508.0,0,001,12,78,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,48.98099,2.00577,0.31736201725680946,0.00021980014358757567,Huge,No,0.0,0.0,0.0,27.09899977713418,"(12900000, 13200000]",High
C,735.0,607.0,0,292,20,22,53,23579,19079,11853,17086,7747,15,10,1,48.7275919,-3.1284527,0.21087314662273476,0.0011026761100979686,Small,Yes,0.0,0.0,0.0,400.27264753005977,"(0, 300000]",Low
C,37644.0,17921.0,0,000,30,44,52,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,47.0505741,-1.1828046,1.1005524245298812,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,330.5949656139633,"(4200000, 4500000]",High
