Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Nb de pers. non scolarisées de 15 ans ou + 2020;Résidences principales 2020;Logements 2020;Nb d'emplois au lieu de travail (LT) 2020;Nb étab. actifs employeurs au 31/12 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Nb de terrains de camping 2024;Nb d'emplacements de camping 2024;Nb d'autres hébergements collectifs de tourisme 2024
01098;Chazey-Bons;1188;861;480;570;415;44;0;0;0;0;0
01099;Chazey-sur-Ain;1600;1198;701;757;312;40;0;0;1;10;0
01100;Cheignieu-la-Balme;131;110;74;119;7;2;0;0;0;0;0
01101;Chevillard;150;120;69;95;9;3;0;0;0;0;0
01102;Chevroux;973;694;383;411;136;21;0;0;0;0;0
01103;Chevry;2261;1542;890;1004;152;13;0;0;0;0;0
01104;Chézery-Forens;445;344;200;393;84;17;0;0;1;66;0
01105;Civrieux;1916;1323;716;769;645;90;0;0;0;0;0
01106;Cize;176;133;81;98;17;3;0;0;0;0;0
01107;Cleyzieu;140;100;67;106;10;2;0;0;0;0;0
01108;Coligny;1227;919;533;712;321;39;0;0;0;0;0
01109;Collonges;2249;1552;911;1052;236;44;0;0;0;0;0
01110;Colomieu;163;125;72;90;9;1;0;0;0;0;0
01111;Conand;135;99;58;112;3;2;0;0;0;0;0
01112;Condamine;473;331;179;196;90;13;0;0;0;0;0
01113;Condeissiat;815;593;345;390;127;18;0;0;0;0;0
01114;Confort;685;503;236;273;190;12;0;0;0;0;0
01115;Confrançon;1348;958;566;626;245;40;1;12;0;0;0
01116;Contrevoz;493;380;229;315;48;8;0;0;0;0;0
01117;Conzieu;149;101;58;86;11;1;0;0;0;0;0
01118;Corbonod;1296;957;483;715;295;30;0;0;0;0;0
01121;Corlier;117;88;48;64;18;7;0;0;0;0;0
01123;Cormoranche-sur-Saône;1162;843;460;502;191;18;0;0;1;117;0
01124;Cormoz;703;536;319;390;59;15;0;0;0;0;0
01125;Corveissiat;596;450;273;370;104;14;0;0;0;0;0
01127;Courmangoux;504;383;228;287;29;8;0;0;0;0;0
01128;Courtes;297;225;134;156;58;7;0;0;0;0;0
01129;Crans;306;220;123;134;31;5;0;0;0;0;0
01130;Bresse Vallons;2380;1679;923;995;411;37;0;0;0;0;0
01133;Cressin-Rochefort;389;314;174;219;24;5;0;0;0;0;0
01134;Crottet;1818;1357;753;796;454;40;0;0;0;0;0
01135;Crozet;2288;1522;877;983;416;47;3;104;0;0;0
01136;Cruzilles-lès-Mépillat;943;664;359;405;55;9;0;0;0;0;0
01138;Culoz-Béon;3426;2518;1544;1842;1686;89;0;0;1;75;0
01139;Curciat-Dongalon;451;340;206;273;92;12;0;0;0;0;0
01140;Curtafond;784;584;303;322;113;21;0;0;0;0;0
01141;Cuzieu;433;341;182;218;21;5;0;0;0;0;0
01142;Dagneux;4753;3330;1866;1978;2656;178;1;21;0;0;0
01143;Divonne-les-Bains;10137;7163;4438;6122;2293;265;8;420;1;240;3
01145;Dompierre-sur-Veyle;1207;879;498;579;171;34;0;0;0;0;0
01146;Dompierre-sur-Chalaronne;437;309;163;178;27;6;0;0;0;0;0
01147;Domsure;526;391;211;265;76;12;0;0;0;0;0
01148;Dortan;1953;1448;823;1035;293;47;0;0;1;50;0
01149;Douvres;1094;790;455;492;51;9;0;0;0;0;0
01150;Drom;215;161;92;119;32;13;0;0;0;0;0
01151;Druillat;1139;862;501;608;96;19;0;0;0;0;0
01152;Échallon;765;580;325;443;74;16;0;0;0;0;0
01153;Échenevex;2127;1421;799;924;194;23;1;14;0;0;0
01155;Évosges;142;113;71;99;22;4;1;11;0;0;0
01156;Faramans;877;601;318;352;115;14;0;0;0;0;0
01157;Fareins;2431;1686;951;1061;615;106;0;0;0;0;0
01158;Farges;1058;736;434;494;42;8;0;0;0;0;0
01159;Feillens;3381;2572;1471;1593;1578;125;0;0;0;0;0
01160;Ferney-Voltaire;10920;7570;5062;6285;3692;351;5;384;0;0;2
01162;Flaxieu;64;46;26;40;16;6;0;0;0;0;0
01163;Foissiat;2014;1538;866;977;280;58;1;5;0;0;0
01165;Francheleins;1585;1100;594;631;154;18;0;0;0;0;0
