UIC;Gare;Service Wifi
756338;Cros-de-Cagnes;Non
673202;Dax;Oui
317065;Étaples-Le Touquet;Non
784843;Err;Non
295774;Dompierre (Nord);Non
681387;Évry-Courcouronnes;Oui
641241;Eygurande-Merlines;Non
444182;Frénouville-Cagny;Non
753442;Fos-sur-Mer;Non
718304;Franois;Non
212258;Geispolsheim;Non
276196;Garges;Non
286807;Genech;Non
337378;Dives-sur-Mer-Port-Guillaume;Non
271593;Crépy-en-Valois;Non
382200;Courbevoie;Non
594119;Corrèze;Non
592881;Exideuil-sur-Vienne;Non
721415;Chazay-Marcilly;Non
672139;Coarraze-Nay;Non
478057;Combourg;Non
481440;Clisson;Non
594168;Égletons;Non
281006;Dunkerque;Oui
141200;Einvaux;Non
576876;Gièvres;Non
576298;Châteauneuf-sur-Cher;Non
726737;Fraisses-Unieux;Non
715136;Frasne;Non
276246;Goussainville;Non
761650;Romans-Bourg-de-Péage;Non
761817;Saillans;Non
543116;St-Cyr-en-Val;Non
784850;Ste-Léocadie;Non
584540;St-Aigulin-La Roche-Chalais;Non
743633;St-Claude;Non
595264;St-Léon-sur-l'Isle;Non
683227;St-Julien-du-Sault;Non
582692;St-Médard-d'Eyrans;Non
473264;Landébia;Non
144303;Lamarche;Non
592733;Lafarge;Non
193672;Herbitzheim;Non
213413;Hoelschloch;Non
191692;Homécourt;Non
444406;Houlgate;Non
471334;Janzé;Non
474296;Guimiliau;Non
313114;Hangest;Non
757666;Juan-les-Pins;Non
597740;Lavaufranche;Non
784512;Le Soler;Non
741777;Landry;Non
393629;Plaisir-Les Clayes;Non
683136;Pont-sur-Yonne;Non
718189;Poligny;Non
575076;Port-de-Piles;Non
171629;Prunay;Non
615328;Rabastens-Couffouleux;Non
182402;Ranspach;Non
474098;Quimper;Oui
471300;Redon;Non
775817;Vauvert;Non
584714;Vayres;Non
485151;Tonnay-Charente;Non
141432;Thiaville;Non
595579;Thenon;Non
784884;Ur-les-Escaldes;Non
214635;Urmatt;Non
576348;Urçay;Non
317511;Woincourt;Non
673616;Villefranque (Pyrénées-Atlanti;Non
784686;Villefranche-Vernet-les-Bains;Non
595892;Villefranche-du-Périgord;Non
756304;Villeneuve-Loubet-Plage;Non
545277;Villeneuve-le-Roi;Non
181289;Vieux-Thann ZI;Non
394148;St-Piat;Non
393413;Villepreux-les-Clayes;Non
342576;Vimy;Non
413336;Virville-Manneville;Non
191098;Walibi-Lorraine;Non
286229;Wambrechies;Non
755421;Vidauban;Non
481408;Vertou;Non
471029;Vern;Non
781260;Vias;Non
313213;Boves;Non
317586;Boulogne-Ville;Non
182709;Bollwiller;Non
141218;Bayon;Non
584268;Bergerac;Non
471219;Beslé;Non
611665;Castelnau-d'Estrétefonds;Non
756478;Carnolès;Non
491217;Cavignac;Non
144154;Bruyères (Vosges);Non
681510;Buno-Gironville;Non
281071;Calais-Fréthun;Oui
694596;Brion-Laizy;Non
696088;Briare;Non
491191;Bussac;Non
731885;Alleyras;Non
182238;Altkirch;Non
287219;Anstaing;Non
144410;Arches;Non
486126;L'Herbergement-Les Brouzils;Non
353581;Les Ramassiers;Non
546226;Les Saules;Non
611111;Lestelle;Non
313486;Nesle (Somme);Non
645507;Neussargues;Non
595538;Milhac-d'Auberoche;Non
491183;Montendre;Non
723726;Mionnay;Non
182667;Lutterbach (Haut-Rhin);Non
571273;Montlouis;Non
761874;Luc-en-Diois;Non
781575;Lunas;Non
141390;Ménil-Flin;Non
594820;Masseret;Non
574244;Menars;Non
611053;Longages-Noé;Non
584052;Libourne;Oui
401323;Mouans-Sartoux;Non
784728;Olette-Canaveilles-les-Bains;Non
684274;Nogent-sur-Vernisson;Non
192468;Pagny-sur-Moselle;Non
543009;Orléans;Oui
586693;Aiguillon;Non
751230;Château-Arnoux-St-Auban;Non
317495;Chepy-Valines;Non
784819;Font-Romeu-Odeillo-Via;Non
113894;Freinville-Sevran;Non
696229;Fourchambault;Non
342204;Fouquereuil;Non
594382;Condat-le-Lardin;Non
184556;Colombier-Fontaine;Non
746370;Cluses;Non
718312;Dannemarie-Velesmes;Non
142497;Damblain;Non
214536;Duppigheim;Non
684233;Dordives;Non
144436;Éloyes;Non
478164;Dinan;Non
684290;Gien;Non
615211;Espéraza;Non
718536;Étalans;Non
755397;Gonfaron;Non
381244;Gisors;Non
411256;Malaunay-Le Houlme;Non
382812;Mareil-Marly;Non
746867;Montroc-le-Planet;Non
317164;Montreuil-sur-Mer;Non
141143;Mont-sur-Meurthe;Non
741728;Moûtiers-Salins-Brides-les-Bai;Oui
192286;Morhange;Non
144295;Martigny-les-Bains;Non
381723;Maule;Non
534347;Lutterbach (Tram/Train);Non
185595;Luxeuil-les-Bains;Non
725705;Mâcon-Loché-TGV;Oui
721159;Lyon-St-Paul;Non
394015;Lucé;Non
313064;Méricourt-Ribemont;Non
723585;Meximieux-Pérouges;Non
694158;Mesvres;Non
393108;Meudon;Oui
611244;Montauban-Ville-Bourbon;Non
287128;Mont-de-Terre;Non
611889;Moissac;Non
118190;Nogent-sur-Seine;Non
276527;L'Isle-Adam-Parmain;Non
141069;Liverdun;Non
276253;Louvres;Non
718411;Novillars;Non
286609;Nomain;Non
175828;Pagny-sur-Meuse;Non
144345;Provenchères-sur-Fave;Non
481218;Port-St-Père-St-Mars;Non
546192;Pont-de-Rungis-Aéroport-d'Orly;Non
753459;Port-de-Bouc;Non
734103;Pontmort;Non
784835;Saillagouse;Non
417444;Reims-Franchet-d'Espèrey;Non
213462;Riedseltz;Non
172270;Rethel;Non
286534;Ronchin;Non
393504;Petit-Jouy-Les Loges;Non
276469;Persan-Beaumont;Oui
343103;St-Amand-les-Eaux;Non
345314;Somain;Non
141788;Pompey;Non
723791;Servas-Lent;Non
182105;Sierentz;Non
481176;Boussay-La Bruffière;Non
545491;Breuillet-Village;Non
345108;Brebières;Non
182576;Bitschwiller (Haut-Rhin);Non
745596;Bons-en-Chablais;Non
382440;Bougival;Non
113407;Bondy;Oui
485342;Beauvoir-sur-Niort;Non
745000;Bellegarde (Ain);Oui
342006;Béthune;Non
773457;Baillargues;Non
171462;Bazancourt;Non
615039;Castelnaudary;Non
194357;Audun-le-Roman;Non
718841;Arc-et-Senans;Non
743146;Ambronay-Priay;Non
726406;Andrézieux;Non
746115;Albens;Non
757625;Cannes;Oui
592741;Bussière-Galant;Non
763607;Briançon;Non
212134;Brumath;Non
723452;Cessieu;Non
342436;La Bassée-Violaines;Non
590364;La Chapelle Aulnay;Non
009696;La Douzillère;Non
757740;La Frayère;Non
486449;Les Sables-d'Olonne;Non
594564;Les Quatre-Routes;Non
276592;Gros-Noyer-St-Prix;Non
171736;Guignicourt (Aisne);Non
673640;Halsou-Larressore;Non
213058;Haguenau;Non
413203;Le Havre-Graville (IE);Non
381095;Le Stade;Non
584151;Lamothe-Montravel;Non
571828;Langeais;Non
582775;Langon;Non
612028;Labège-Village;Non
757757;Le Bosquet;Non
478404;Laval;Non
212340;Herrlisheim (Bas-Rhin);Non
193276;Hombourg-Haut;Non
316125;Thézy-Glimont;Non
118000;Troyes;Oui
611590;Tarascon-sur-Ariège;Non
615344;St-Sulpice (Tarn);Non
584722;St-Sulpice-Izon;Non
415166;St-Victor;Non
396283;St-Mars-la-Brière;Non
723783;St-Paul-de-Varax;Non
677120;St-Jean-de-Luz-Ciboure;Non
393520;St-Germain-St-Rémy;Non
592709;St-Junien;Non
747204;Virieu-sur-Bourbre;Non
297051;Viry-Noureuil;Non
192732;Valleroy-Moineville;Non
611327;Varilhes;Non
594556;Turenne;Non
641357;Vallon;Non
484006;Angers-St-Laud;Oui
276485;Bouffemont-Moisselles;Non
545467;Arpajon (Essonne);Oui
562421;Aulnat-Aéroport;Non
286146;Armentières;Non
281428;Audruicq;Non
286872;Baisieux;Non
721357;Belleville-sur-Saône;Non
345140;Billy-Montigny;Non
214296;Bischoffsheim;Non
182659;Breitenbach-Haut-Rhin;Non
287235;Bouvines;Non
444000;Caen;Oui
725721;Pontanevaux-la-Chapelle;Non
582734;Podensac;Non
478123;Plerguer;Non
394247;Pontgouin;Non
783241;St-Chély-d'Apcher;Non
271015;St-Denis;Oui
213108;Schweighouse-sur-Moder;Non
484329;Savennières-Béhuard;Non
726331;Rive-de-Gier;Non
686030;Paris-Gare-de-Lyon (Banlieue);Oui
694687;Paray-le-Monial;Non
722207;Oullins;Non
712604;Ouges;Non
352047;Paul-Émile-Victor;Non
391003;Paris-Montparnasse;Oui
342550;Pernes-Camblain;Non
747279;Réaumont-St-Cassien;Non
215079;Réding;Non
271429;Sevran-Livry;Oui
212365;Sessenheim;Non
763722;Serres;Non
575134;Ingrandes-sur-Vienne;Non
393306;Issy-Val-de-Seine;Oui
193664;Kalhausen;Non
597062;Issoudun;Non
212324;Kilstett;Non
781088;Leucate-la-Franqui;Non
746776;Les Pélerins;Non
444323;Le Grand-Jardin;Non
213686;Hoerdt;Non
313338;Hargicourt-Pierrepont;Non
116012;Gretz-Armainvilliers;Non
281311;Grande-Synthe;Non
473207;Guingamp;Oui
193813;Lemberg (Moselle);Non
613323;Lalbenque-Fontanes;Non
731828;Lachaud-Curmilhac;Non
612002;Labège-Innopole;Non
381202;La Villetertre;Non
113886;L'Abbaye;Non
673293;Labenne;Non
734228;Le Breuil-sur-Couze;Non
142091;Langres;Non
485474;La Crèche;Non
575845;Lussac-les-Châteaux;Non
141150;Lunéville;Non
276576;Luzarches;Non
381590;Mantes-Station;Non
611871;Malause;Non
746347;Marignier;Non
586545;Marmande;Non
342188;Maroeuil;Non
645168;Maurs;Non
725838;Mézériat;Non
342030;Miraumont;Non
784736;Nyers;Non
534339;Mulhouse-Musées (Tram/Train);Non
595298;Mussidan;Non
476275;L'Isthme;Non
615161;Limoux;Non
444570;Nonant-le-Pin;Non
471540;Noyal-Acigné;Non
317396;Noyelles;Non
393082;Meudon-Val-Fleury;Non
276675;Mériel;Non
212456;Mothern;Non
712620;Longecourt;Non
313049;Longueau;Non
546200;Orly-Ville;Non
741421;Aiguebelette-le-Lac;Non
116640;Crouy-sur-Ourcq;Non
584425;Couze;Non
765826;Entraigues-sur-la-Sorgue;Non
534131;Ermont-Eaubonne (PSL);Non
741280;Épierre-St-Léger;Non
574491;Chenonceaux-Chisseaux;Non
116582;Château-Thierry;Non
746784;Chamonix-Mont-Blanc;Non
615468;Castres (Tarn);Non
611897;Castelsarrasin;Non
276691;Compiègne;Oui
315044;Daours;Non
316075;Dreuil-lès-Amiens;Non
345165;Dourges;Non
745679;Évian-les-Bains;Non
582478;Facture-Biganos;Non
193524;Farschviller;Non
413542;Fécamp;Non
141051;Fontenoy-sur-Moselle;Non
713586;Fontaines-Mercurey;Non
324095;Futuroscope;Non
141077;Frouard;Non
713313;Genlis;Non
734046;Gerzat;Non
783423;St-Georges-de-Luzençon;Non
481226;Ste-Pazanne;Non
212209;Steinbourg;Non
481234;St-Hilaire-de-Chaléons;Non
584607;St-Médard-de-Guizières;Non
761684;St-Hilaire-St-Nazaire;Non
386656;Vernouillet-Verneuil;Non
592675;Verneuil-sur-Vienne;Non
184531;Voujeaucourt;Non
575043;Villeperdue;Non
213678;Weyersheim;Non
574236;Suèvres;Non
473819;Trégonneau-Squiffiec;Non
721472;Tarare;Non
734475;Thiers;Non
184242;Trois-Chênes;Non
192476;Vandières;Non
472639;ZU-Rhein;Non
721332;Villefranche-sur-Saône;Non
386649;Villennes-sur-Seine;Non
193821;Bitche;Non
726471;Boën;Non
313510;Beauvais;Non
381046;Avenue-Henri-Martin;Oui
611384;Auterive;Non
141416;Baccarat;Non
682138;Boussy-St-Antoine;Non
448084;Briouze;Non
734269;Brioude;Non
543058;Artenay (Loiret);Non
545657;Auneau;Non
342014;Arras;Oui
345389;Bouchain;Non
615054;Bram;Non
174003;Châlons-en-Champagne;Non
696302;Chantenay-St-Imbert;Non
338525;Krimmeri-Meinau;Non
595595;La Bachellerie;Non
381558;Juziers;Non
481424;Le Pallet;Non
746883;Le Buet;Non
487876;Les Rosiers-sur-Loire;Non
287102;Lezennes;Non
491274;La Grave-d'Ambarès-Gare-Inféri;Non
753541;La Couronne-Carro;Non
313239;La Faloise;Non
297515;Les Bons-Pères;Non
746818;Les Moussoux;Non
492108;Les Ardoines;Non
386409;Houilles-Carrières-sur-Seine;Oui
673665;Itxassou;Non
393462;Houdan;Non
721860;Lamure-sur-Azergues;Non
295642;Landrecies;Non
611939;Lardenne;Non
191353;Hombourg-Budange;Non
615195;Albi-Madeleine;Non
185629;Aillevillers;Non
393884;Villiers-Neauphle-Pontchartrai;Non
471508;Vitré;Non
746479;St-Gervais-les-Bains-Le Fayet;Non
486563;St-Hilaire-de-Riez;Non
723353;St-Priest;Non
761494;St-Péray;Non
673277;St-Vincent-de-Tyrosse;Non
671008;Tarbes;Oui
382861;Versailles-Rive-Droite;Oui
683664;Vermenton;Non
481143;Thouaré;Non
725622;Tournus;Non
182618;Wesserling;Non
213405;Walbourg;Non
193656;Wittring;Non
144196;Corcieux-Vanémont;Non
402297;Colmar-Mésanges;Non
141382;Chenevières;Non
175117;Chevillon;Non
342220;Chocques;Non
411819;Clères;Non
574665;Château-Renault;Non
481648;Châteaubriant;Non
710731;École-Valentin;Non
313726;Marseille-en-Beauvaisis;Non
615419;Marssac-sur-Tarn;Non
342121;Mazingarbe;Non
415141;Longueville-sur-Scie;Non
343475;Lourches;Non
491290;Loulay;Non
381715;Mareil-sur-Mauldre;Non
575068;Maillé;Non
713156;Nuits-sous-Ravières;Non
215632;Oermingen;Non
764001;Montélimar;Oui
313700;Milly-sur-Thérain;Non
287151;Nieppe;Non
142406;Merrey (Haute-Marne);Non
673707;Ossès-St-Martin-d'Arrossa;Non
171371;Fère-en-Tardenois;Non
574533;Fréteval-Morée;Non
590356;Erdre Active;Non
784827;Estavar;Non
592691;St-Brice-sur-Vienne;Non
756825;Sospel;Non
747493;Pontcharra-sur-Breda-Allevard;Non
345264;Pont-à-Vendin;Non
473538;Plougonver;Non
575001;Poitiers;Oui
286245;Quesnoy-sur-Deûle;Non
718403;Roche-lez-Beaupré;Non
481838;Savenay;Non
592717;Saillat-Chassenon;Non
276097;Pierrelaye;Non
755215;St-Cyr-les-Lècques-La Cadière;Non
726158;St-Étienne-La Terrasse;Non
682542;St-Fargeau;Non
491035;St-Savinien-sur-Charente;Non
751701;St-Marcel;Non
486571;St-Gilles-Croix-de-Vie;Non
366922;St-Germain-Bel-air;Non
576405;St-Germain-du-Puy;Non
756346;St-Laurent-du-Var;Non
491357;St-Jean-d'Angély;Non
478107;St-Malo;Oui
746735;Viaduc-Ste-Marie;Non
182550;Vieux-Thann;Non
734426;Vertaizon;Non
696351;Varennes-sur-Allier;Non
447698;Villedieu-les-Poêles;Non
745646;Thonon-les-Bains;Non
672600;La Croix-du-Prince;Non
681452;La Ferté-Alais;Non
486423;La Mothe-Achard;Non
726703;La Ricamarie;Non
592808;La Meyze;Non
721605;Sain-Bel;Non
718502;Saône;Non
726885;Montrond-les-Bains;Non
478032;Montreuil-sur-Ille;Non
581231;Moulis-Listrac;Non
481002;Nantes;Oui
171272;Reims-Maison-Blanche;Non
212159;Schwindratzheim;Non
386417;Sartrouville;Oui
574129;St-Ay;Non
584193;Ste-Foy-la-Grande;Non
446179;St-Cyprien-Arènes;Non
575290;Vivonne;Non
343301;Wallers;Non
741611;Grésy-sur-Isère;Non
683243;Joigny;Non
212464;Lauterbourg;Non
595751;Le Buisson;Non
775825;Le Cailar;Non
592543;Le Dorat;Non
473223;Lannion;Non
586412;Laroque;Non
473801;Gourland;Non
597609;Guéret;Non
172106;Haybes;Non
345041;Liévin;Non
582767;Preignac;Non
473520;Pont-Melvez;Non
415885;Rosny-sur-Seine;Non
116269;Guérard-La Celle-sur-Morin;Non
113779;Les Boullereaux-Champigny;Non
641373;Les Trillers;Non
764308;Pierrelatte;Non
595009;Périgueux;Non
592170;Pérols;Non
581751;Pessac;Non
734053;Riom-Châtel-Guyon;Non
175018;Revigny;Non
171637;Sillery;Non
485003;La Rochelle-Ville;Oui
212316;La Wantzenau;Non
582643;La Teste;Non
471367;Martigné-Ferchaud;Non
576116;Mehun-sur-Yèvre;Non
481465;Montaigu-Vendée;Non
751370;Meyrargues;Non
212142;Mommenheim;Non
741181;Montmélian;Non
673673;Louhossoa;Non
393470;Marchezais-Broué;Non
118299;Bar-sur-Aube;Non
295733;Avesnes;Non
595876;Belvès;Non
592667;Aixe-sur-Vienne;Non
581793;Alouette-France;Non
583005;Angoulême;Oui
345280;Bauvin-Provin;Non
171348;Bazoches;Non
184002;Belfort;Oui
743005;Bourg-en-Bresse;Oui
487249;Bressuire;Non
581728;Blanquefort;Non
594465;Aubazine-St-Hilaire;Non
172122;Aubrives;Non
672212;Artix;Non
756460;Cap-Martin-Roquebrune;Non
447144;Carantilly-Marigny;Non
753566;Carry-le-Rouet;Non
473504;Carhaix;Non
484204;Chalonnes;Non
721746;Civrieux-d'Azergues;Non
611921;Colomiers-Lycée-International;Non
313304;Clermont-de-l'Oise;Non
393272;Coignières;Non
473140;Châtelaudren-Plouagat;Non
543066;Château-Gaillard;Non
734343;Chapeauroux;Non
192211;Courcelles-sur-Nied;Non
713537;Corgoloin;Non
271536;Dammartin-Juilly-St-Mard;Non
276006;Creil;Non
697292;Épinay-sur-Seine TT;Non
681601;Essonnes-Robinson;Non
214221;Epfig;Non
713412;Dole-Ville;Non
696633;Flez-Cuzy-Tannay;Non
271205;Gennevilliers;Non
491225;Gauriaguet;Non
751420;Gardanne;Non
171587;Germaine;Non
144030;Docelles-Cheniménil;Non
141812;Dieulouard;Non
696831;Coulanges-sur-Yonne;Non
615120;Couffoulens-Leuc;Non
116277;Faremoutiers-Pommeuse;Non
756387;Èze;Non
546317;Chemin-d'Antony;Non
611376;Cintegabelle;Non
142000;Chaumont;Non
682146;Combs-la-Ville-Quincy;Oui
214148;Erstein;Non
175794;Étain;Non
141119;Dombasle-sur-Meurthe;Non
444547;Écouché;Non
592105;Châteauneuf-Bujaleuf;Non
683615;Champs-St-Bris;Non
481051;Chantenay;Non
681379;Grigny-Centre;Oui
141127;Rosières-aux-Salines;Non
113704;Rosny-sous-Bois;Oui
313460;Rosières;Non
543165;Salbris;Non
491803;Royan;Non
595777;St-Cyprien-en-Dordogne;Non
444604;Ste-Gauburge;Non
213421;Soultz-sous-Forêts;Non
581371;Soulac-sur-Mer;Non
713677;Seurre;Non
491241;St-André-de-Cubzac;Non
447003;St-Lô;Non
471359;Retiers;Non
214759;Saulxures (Bas-Rhin);Non
215459;Sarre-Union;Non
214056;Sélestat;Non
753715;Sénas;Non
172254;Sedan;Non
784777;Sauto;Non
592071;St-Léonard-de-Noblat;Non
478016;St-Germain-sur-Ille;Non
715417;St-Laurent (Jura);Non
547315;St-Michel-Notre-Dame;Oui
381657;Achères-Ville;Non
313759;Abancourt;Non
545459;La Norville-St-Germain-lès-Arp;Non
437798;La Rochelle-Porte-Dauphine;Non
478099;La Gouesnière-Cancale;Non
396093;La Hutte-Coulombiers;Non
396325;La Ferté-Bernard;Non
611434;Lacourtensourt;Non
582551;Labouheyre;Non
317222;Hesdin;Non
641217;Huriel;Non
577403;Iteuil;Non
393074;Issy;Non
213223;Gundershoffen;Non
286302;Hazebrouck;Non
182089;Habsheim;Non
214114;Kogenheim;Non
734699;Le Puy-en-Velay;Non
473553;Le Pénity;Non
757575;Le Trayas;Non
272146;Les Grésillons;Non
473835;Pontrieux-Halte;Non
481846;Pontchâteau;Non
618058;Pommevic;Non
271007;Paris-Nord;Oui
317057;Rang-du-Fliers-Verton;Non
721050;Régny;Non
484386;Varades-St-Florent-le-Vieil;Non
297283;Vauxaillon;Non
691469;Vauzelles;Non
718114;Torpes-Boussières;Non
182584;Willer-sur-Thur;Non
141549;Xeuilley;Non
286419;Wavrin;Non
576884;Villefranche-sur-Cher;Non
381426;St-Ouen-l'Aumône-Église;Non
757526;St-Raphaël-Valescure;Oui
478768;St-Pierre-la-Cour;Non
761130;St-Vallier-sur-Rhône;Non
313080;St-Roch (Somme);Non
485227;Surgères;Non
721514;Tassin;Non
276220;Villiers-le-Bel-Gonesse;Oui
613661;Viviez-Decazeville;Non
478560;Voutré;Non
393157;Versailles-Rive-Gauche;Oui
763300;Veynes-Dévoluy;Non
175778;Verdun;Non
713081;Verrey;Non
185009;Vesoul;Non
726216;Bouthéon;Non
174433;Bouy;Non
387183;Beaumont-le-Roger;Non
718460;Baume-les-Dames;Non
313569;Balagny-St-Épin;Non
574442;Azay-sur-Cher;Non
981902;Avignon-TGV;Oui
645002;Aurillac;Non
545251;Athis-Mons;Non
751750;Aubagne;Non
345421;Arleux;Non
214122;Benfeld;Non
574111;Chaingy-Fourneaux-Plage;Non
747212;Châbons;Non
781542;Ceilhes-Roqueredonde;Non
182410;Cernay (Haut-Rhin);Non
296459;Appilly;Non
276030;Champ-de-Courses-d'Enghien;Non
185348;Champagney;Non
471060;L'Hermitage-Mordelles;Non
595702;Les Versannes;Non
753582;Niolon;Non
296095;Marle-sur-Serre;Non
783282;Marvejols;Non
271882;Margival;Non
718106;Montferrand-Thoraise;Non
718866;Montbarrey;Non
592279;Magnac-Vicq;Non
581199;Macau;Non
396291;Montfort-le-Gesnois;Non
116087;Mormant;Non
747667;Lus-la-Croix-Haute;Non
478511;Louverné;Non
576728;Mennetou-sur-Cher;Non
214130;Matzenheim;Non
713560;Meursault;Non
286005;Lille-Flandres;Oui
381582;Limay;Non
116558;Nanteuil-Saâcy;Non
781104;Narbonne;Oui
574319;Onzain;Non
116020;Ozoir-la-Ferrière;Oui
313098;Ailly-sur-Somme;Non
545269;Ablon;Non
381228;Chaumont-en-Vexin;Non
485110;Châtelaillon;Non
281402;Coudekerque-Branche;Non
571448;Courçay-Tauxigny;Non
713321;Collonges (Côte-d'Or);Non
491449;Cognac;Non
394494;Courtalain-St-Pellerin;Non
584516;Coutras;Non
317081;Dannes-Camiers;Non
741074;Culoz;Non
696427;Dompierre-Sept-Fons;Non
214338;Dorlisheim;Non
761841;Die;Non
775130;Gallargues;Non
116046;Émerainville-Pontault-Combault;Oui
272096;Esches;Non
756858;Fontan-Saorge;Non
681353;Grand-Bourg (Essonne);Non
722405;Givors-Ville;Non
394429;Magny-Blandainville;Non
718510;Mamirolle;Non
194209;Montmédy;Non
682278;Moret-Veneux-les-Sablons;Non
116285;Mouroux;Non
171298;Muizon;Non
723767;Marlieux-Châtillon;Non
747691;Moirans-la-Galifette;Non
742007;Modane;Non
672113;Montaut-Bétharram;Non
184523;Montbéliard;Non
718361;Orchamps (Jura);Non
313379;Namps-Quevauvillers;Non
175067;Nançois-Tronville;Non
141002;Nancy-Ville;Oui
313122;Longpré-les-Corps-Saints;Non
411447;Longuerue-Vieux-Manoir;Non
592006;Limoges-Bénédictins;Oui
543157;Nouan-le-Fuzelier;Non
481598;Nort-sur-Erdre;Non
672253;Orthez;Non
141622;Praye-sous-Vaudémont;Non
141564;Pulligny-Autrey;Non
485268;Prin-Deyrançon;Non
343418;Prouvy-Thiant;Non
144428;Pouxeux;Non
382382;Puteaux;Oui
393322;Pont-du-Garigliano H. Pompidou;Non
345207;Pont-de-la-Deule;Non
611400;Portet-St-Simon;Non
381186;Santeuil-Le Perchay;Non
713594;Santenay-les-Bains;Non
345215;Sallaumines;Non
784157;Salses;Non
613042;Rocamadour-Padirac;Non
476317;Quimperlé;Non
212373;Rountzenheim;Non
485144;Rochefort;Non
547026;Paris-Austerlitz (Banlieue);Oui
595504;Périgueux-St-Georges;Non
686006;Paris-Gare-de-Lyon;Oui
113852;Pavillons-sous-Bois;Non
415125;St-Aubin-sur-Scie;Non
473009;St-Brieuc;Non
172171;Poix-Terron;Non
491811;Saujon;Non
571851;St-Genouph;Non
144188;Biffontaine;Non
276550;Belloy-St-Martin;Non
691949;Bidos;Non
783324;Banassac-La Canourgue;Non
582700;Beautiran;Non
775023;Beaucaire;Non
396572;Aubigné-Racan;Non
281121;Arnèke;Non
444059;Audrieu;Non
611749;Auch;Non
473561;Carnoët-Locarn;Non
672634;Buzy-en-Béarn;Non
582742;Cérons;Non
413716;Jacques-Monod-La Demi-Lieue;Non
393512;Jouy-en-Josas;Non
481267;La Bernerie;Non
116673;La Ferté-Milon;Non
276733;Le Meux-la-Croix-St-Ouen;Non
317529;Le Tréport-Mers;Non
645473;Le Lioran;Non
581389;Le Verdon;Non
746305;La Roche-sur-Foron;Non
286187;La Madeleine (Nord);Non
592295;La Porcherie;Non
575183;La Tricherie;Non
393561;Igny;Non
696161;Tracy-Sancerre;Non
784751;Thuès;Non
396051;Teillé (Sarthe);Non
592824;St-Yrieix;Non
382481;St-Nom-la-Bretêche-Forêt-de-Ma;Non
592055;St-Priest-Taurion;Non
747568;St-Georges-de-Commiers;Non
491324;St-Hilaire-Brizambourg;Non
382887;Viroflay-Rive-Droite;Non
316422;Villers-sur-Thère;Non
741108;Vions-Chanaz;Non
393009;Versailles-Chantiers;Oui
116079;Verneuil-l'Étang;Non
645440;Vic-sur-Cère;Non
171611;Val-de-Vesle (Marne);Non
381491;Andrésy;Non
581009;Bordeaux-St-Jean;Oui
214775;Bourg-Bruche;Non
684407;Boigneville;Non
683607;Augy-Vaux;Non
613075;Assier;Non
411264;Barentin-Embranchement;Non
576439;Avord;Non
673004;Bayonne;Oui
212308;Bischheim;Non
684118;Bourron-Marlotte-Grez;Non
741793;Bourg-St-Maurice;Oui
576207;Bourges;Oui
381624;Bréval;Non
694166;Broye;Non
756395;Cap-d'Ail;Non
755371;Carnoules;Non
615229;Campagne;Non
473546;Callac;Non
471037;Bruz;Non
743120;Pont-d'Ain;Non
594663;Pompadour;Non
386573;Poissy;Oui
615146;Pomas;Non
741470;Pont-de-Beauvoisin;Non
317115;Pont-de-Briques;Non
641076;St-Bonnet-de-Rochefort;Non
715151;Ste-Colombe (Doubs);Non
286161;Steenwerck;Non
753558;Sausset-les-Pins;Non
276774;Ourscamps;Non
295667;Ors;Non
411462;Sommery;Non
597724;Parsac-Gouzon;Non
611830;Pibrac;Non
316679;Pihen;Non
313130;Pont-Remy;Non
595223;Razac;Non
571885;Joué-lès-Tours;Non
713859;Is-sur-Tille;Non
474213;Kerhuon;Non
694737;La Clayette-Baudemont;Non
276287;La Borne-Blanche;Non
696195;La Charité;Non
144329;Lesseux-Frapelle;Non
723718;Les Échets;Non
295790;Leval;Non
478743;Le Genest;Non
595744;Le Bugue;Non
345157;Hénin-Beaumont;Non
755629;Hyères;Non
313734;Grandvilliers;Non
295857;Le Quesnoy (Nord);Non
343210;Le Poirier;Non
765453;Le Thor;Non
394171;La Villette-St-Prest;Non
471144;Laillé;Non
645135;Laroquebrou;Non
753731;Lamanon;Non
581397;La Pointe-de-Grave;Non
726232;La Fouillouse;Non
478081;La Fresnais;Non
474221;La Forest;Non
775247;La Levade;Non
182543;Luttenbach-près-Munster;Non
641050;Louroux-de-Bouble;Non
485060;Marans;Non
611087;Martres-Tolosane;Non
747592;Monestier-de-Clermont;Non
753004;Miramas;Non
182634;Oderen;Non
673319;Ondres;Non
396374;Noyen;Non
381210;Liancourt-St-Pierre;Non
342238;Lillers;Non
741694;Notre-Dame-de-Briançon;Non
286815;Nomain-Ouvignies;Non
172023;Nouzonville;Non
192070;Metz-Nord;Non
682302;Montereau;Non
411801;Montville;Non
718833;Mouchard;Non
345231;Loison;Non
761262;Loriol;Non
721241;Couzon-au-Mont-d'Or;Non
342410;Cuinchy;Non
545228;Épinay-sur-Orge;Non
381418;Éragny-Neuville;Non
694141;Étang;Non
141085;Champigneulles;Non
682419;Chartrettes;Non
571463;Chambourg;Non
722710;Chaponost;Non
394007;Chartres;Non
725002;Chalon-sur-Saône;Oui
713578;Chagny;Non
181222;Colmar-St-Joseph;Non
694646;Ciry-le-Noble;Non
287243;Cobrieux;Non
