UIC;Gare;Service Wifi
393892;Montfort-l'Amaury-Mère;Non
411454;Montérolier-Buchy;Non
296418;Montescourt;Non
172056;Monthermé;Non
618207;Montlaur;Non
734335;Monistrol-d'Allier;Non
212100;Mundolsheim;Non
611038;Muret;Non
696187;Mesves-Bulcy;Non
213207;Mertzwiller;Non
191338;Metzervisse;Non
141499;Messein;Non
671313;Ossun;Non
313841;Fouilloy;Non
214734;Fouday;Non
193359;Faulquemont;Non
276147;Épluches;Non
182626;Fellering;Non
212241;Graffenstaden;Non
214270;Goxwiller;Non
595769;Siorac-en-Périgord;Non
286195;St-André (Nord);Non
182691;Staffelfelden;Non
476416;Plouharnel-Carnac;Non
473132;Plouvara-Plerneuf;Non
381111;Pont-Cardinet;Non
696179;Pouilly-sur-Loire;Non
118158;Romilly-sur-Seine;Non
592253;Pierre-Buffière;Non
393652;Petit-Vaux;Non
473181;Plouaret;Non
144014;St-Dié;Non
411215;St-Étienne-du-Rouvray;Non
476762;St-Gildas-des-Bois;Non
485490;St-Maixent (Deux-Sèvres);Non
694364;St-Léger-sur-Dheune;Non
713651;St-Jean-de-Losne;Non
141598;Tantonville;Non
144097;Thaon;Non
393595;Verneuil-sur-Avre;Non
611863;Valence-d'Agen;Non
212118;Vendenheim;Non
722264;Vernaison;Non
447284;Valognes;Non
743328;Villereversure;Non
448159;Vire;Non
286740;Tressin;Non
141010;Jarville-la-Malgrange;Non
543124;La Ferté-St-Aubin;Non
571547;Neuillé-Pont-Pierre;Non
595132;Négrondes;Non
988709;Remise-à-Jorelle;Non
144451;Remiremont;Non
615260;Quillan;Non
545236;Savigny-sur-Orge;Oui
212225;Saverne;Non
594622;St-Aulaire;Non
471318;St-Armel;Non
342295;Steenbecque;Non
175000;St-Dizier;Non
393223;St-Cyr;Oui
181065;Walheim;Non
214676;Wisches;Non
734723;Vorey;Non
172031;Joigny-sur-Meuse;Non
545244;Juvisy;Non
615476;Lavaur;Non
276204;Laigneville;Non
476234;Landévant;Non
594424;Larche;Non
417501;Lancey;Non
413302;Harfleur;Non
565143;Halte de Fontanil-Lycée Drap;Non
109306;Lille CHR;Non
734442;Lezoux;Non
393165;Porchefontaine;Non
345124;Pont-de-Sallaumines;Non
474056;Pont-de-Buis;Non
485532;Rouillé;Non
164798;La Plaine-Stade-de-France;Oui
476267;Les Sables-Blancs;Non
286849;Lesquin;Non
613489;Lexos;Non
759290;Picon-Busserine;Non
342089;Roeux (Pas-de-Calais);Non
276352;Rieux-Angicourt;Non
747246;Rives;Non
722546;Sérézin;Non
715219;Labergement-Ste-Marie;Non
723395;La Verpillière;Non
172072;Laifour;Non
721522;Le Méridien;Non
753509;Martigues;Non
756254;Nice-St-Augustin;Non
574699;Notre-Dame-d'Oé;Non
485300;Niort;Oui
756403;Monaco-Monte-Carlo;Non
684001;Montargis;Non
671016;Mont-de-Marsan;Non
694307;Montchanin;Non
171256;Montbré;Non
597104;Lothiers;Non
581181;Ludon;Non
172189;Lumes;Non
781666;Magalas;Non
576280;Lunery;Non
486431;Olonne-sur-Mer;Non
317362;Abbeville;Non
781278;Agde;Oui
182840;Bantzenheim;Non
718551;Avoudrey;Non
576447;Bengy;Non
783654;Allenc;Non
317610;Beau-Marais;Non
756833;Breil-sur-Roya;Non
193177;Bouzonville;Non
681478;Boutigny;Non
313809;Blangy-sur-Bresle;Non
574475;Bléré-la-Croix;Non
172049;Bogny-sur-Meuse;Non
597120;Argenton-sur-Creuse;Non
757674;Antibes;Oui
756320;Cagnes-sur-Mer;Non
615286;Carcassonne;Oui
382655;Cergy-le-Haut;Oui
214528;Entzheim-Aéroport;Non
641449;Durtol-Nohanent;Non
191379;Ébersviller;Non
214106;Ebersheim;Non
394114;Épernon;Non
683532;Chemilly-Appoigny;Non
296616;Chauny;Non
144287;Contrexéville;Non
272286;Corcy;Non
478180;Corseul-Languenan;Non
171710;Courcy-Brimont;Non
481820;Cordemais;Non
394221;Courville-sur-Eure;Non
271148;Épinay-sur-Seine;Oui
722579;Estressin;Non
396200;Domfront (Sarthe);Non
595280;Douzillac;Non
764290;Donzère;Non
142273;Donjeux;Non
682211;Fontainebleau-Avon;Non
191395;Freistroff;Non
741629;Frontenex;Non
193003;Forbach;Non
485326;Fors;Non
763003;Gap;Non
713008;Dijon-Porte-Neuve;Non
575191;Dissay (Vienne);Non
191320;Distroff;Non
755355;Cuers-Pierrefeu;Non
613802;Cordes-Vindrac;Non
296152;Crépy-Couvron;Non
181040;Flaxlanden;Non
342527;Farbus;Non
721761;Chessy;Non
396895;Clermont-La Rotonde;Non
394288;Condé-sur-Huisne;Non
784256;Collioure;Non
387001;Évreux-Embranchement;Oui
345496;Escaudoeuvres;Non
784207;Elne;Non
540179;Dourdan-la-Forêt;Non
171512;Dormans;Non
393058;Champ-de-Mars-Tour-Eiffel;Oui
172007;Charleville-Mézières;Oui
