Code géographique;Libellé géographique;Aire d'attraction des villes 2020;Libellé aire d'attraction des villes 2020;Catégorie commune dans aire d'attraction des villes 2020;Département;Région
57578;Rezonville-Vionville;033;Metz;20;57;44
57579;Rhodes;170;Sarrebourg;20;57;44
57580;Riche;541;Morhange;20;57;44
57581;Richeling;121;Sarreguemines (partie française);20;57;44
57582;Richemont;LUX;Luxembourg (partie française);20;57;44
57583;Richeval;170;Sarrebourg;20;57;44
57584;Rimling;121;Sarreguemines (partie française);20;57;44
57586;Rochonvillers;LUX;Luxembourg (partie française);20;57;44
57587;Rodalbe;541;Morhange;20;57;44
57588;Rodemack;LUX;Luxembourg (partie française);20;57;44
57589;Rohrbach-lès-Bitche;121;Sarreguemines (partie française);20;57;44
57590;Rolbing;000;Commune hors attraction des villes;30;57;44
57591;Rombas;317;Amnéville - Rombas;12;57;44
57592;Romelfing;170;Sarrebourg;20;57;44
57593;Roncourt;033;Metz;20;57;44
57594;Roppeviller;517;Bitche;20;57;44
57595;Rorbach-lès-Dieuze;170;Sarrebourg;20;57;44
57596;Rosbruck;197;Forbach (partie française);20;57;44
57597;Rosselange;LUX;Luxembourg (partie française);20;57;44
57598;Rouhling;121;Sarreguemines (partie française);20;57;44
57599;Roupeldange;033;Metz;20;57;44
57600;Roussy-le-Village;LUX;Luxembourg (partie française);20;57;44
57601;Rozérieulles;033;Metz;20;57;44
57602;Rurange-lès-Thionville;LUX;Luxembourg (partie française);20;57;44
57603;Russange;LUX;Luxembourg (partie française);20;57;44
57604;Rustroff;LUX;Luxembourg (partie française);20;57;44
57605;Sailly-Achâtel;033;Metz;20;57;44
57606;Saint-Avold;178;Saint-Avold (partie française);11;57;44
57607;Sainte-Barbe;033;Metz;20;57;44
57609;Saint-Epvre;033;Metz;20;57;44
57610;Saint-François-Lacroix;000;Commune hors attraction des villes;30;57;44
57611;Saint-Georges;170;Sarrebourg;20;57;44
57612;Saint-Hubert;033;Metz;20;57;44
57613;Saint-Jean-de-Bassel;170;Sarrebourg;20;57;44
57614;Saint-Jean-Kourtzerode;000;Commune hors attraction des villes;30;57;44
