Code géographique;Libellé géographique;Aire d'attraction des villes 2020;Libellé aire d'attraction des villes 2020;Catégorie commune dans aire d'attraction des villes 2020;Département;Région
57047;Bambiderstroff;000;Commune hors attraction des villes;30;57;44
57048;Bannay;033;Metz;20;57;44
57049;Le Ban-Saint-Martin;033;Metz;12;57;44
57050;Barchain;170;Sarrebourg;20;57;44
57051;Baronville;541;Morhange;20;57;44
57052;Barst;178;Saint-Avold (partie française);20;57;44
57053;Bassing;527;Dieuze;20;57;44
57054;Baudrecourt;033;Metz;20;57;44
57055;Bazoncourt;033;Metz;20;57;44
57056;Bébing;170;Sarrebourg;20;57;44
57057;Béchy;033;Metz;20;57;44
57058;Behren-lès-Forbach;197;Forbach (partie française);20;57;44
57059;Bellange;541;Morhange;20;57;44
57060;Bénestroff;000;Commune hors attraction des villes;30;57;44
